month,production
2010-01,276601
2010-02,141770
2010-03,182076
2010-04,234364
2010-05,335726
2010-06,201611
2010-07,85395
2010-08,189692
2010-09,222104
2010-10,226146
2010-11,209514
2010-12,201918
2011-01,115253
2011-02,282462
2011-03,183901
2011-04,210025
2011-05,219563
2011-06,275559
2011-07,336514
2011-08,316947
2011-09,179691
2011-10,147959
2011-11,156139
2011-12,148464
2012-01,269888
2012-02,268664
2012-03,146374
2012-04,130367
2012-05,167444
2012-06,205994
2012-07,194450
2012-08,183552
2012-09,219236
2012-10,276780
2012-11,314343
2012-12,334778
2013-01,363650
2013-02,253093
2013-03,261432
2013-04,237958
2013-05,236984
2013-06,267580
2013-07,229172
2013-08,202325
2013-09,198319
2013-10,165821
2013-11,180357
2013-12,200366
2014-01,194749
2014-02,251018
2014-03,261307
2014-04,241542
2014-05,307745
2014-06,319031
2014-07,227369
2014-08,260871
2014-09,196577
2014-10,182134
2014-11,214874
2014-12,223951
2015-01,111752
2015-02,183866
2015-03,233835
2015-04,170979
2015-05,171587
2015-06,176197
2015-07,73084
2015-08,123739
2015-09,99440
2015-10,83075
2015-11,233515
2015-12,246602
2016-01,115898
2016-02,91603
2016-03,243249
2016-04,288051
2016-05,181724
2016-06,124880
2016-07,131077
2016-08,235417
2016-09,168989
2016-10,110979
2016-11,180519
2016-12,158734
2017-01,63730
2017-02,54481
2017-03,162678
2017-04,239326
2017-05,192906
2017-06,137068
2017-07,150436
2017-08,132516
2017-09,279353
2017-10,346724
2017-11,328751
2017-12,205175
2018-01,102299
2018-02,170094
2018-03,233009
2018-04,204408
2018-05,133825
2018-06,107145
2018-07,133761
2018-08,139152
2018-09,187939
2018-10,274864
2018-11,391493
2018-12,342075
2019-01,222616
2019-02,199263
2019-03,236379
2019-04,250396
2019-05,188451
2019-06,143073
2019-07,186277
2019-08,168827
2019-09,206780
2019-10,211993
2019-11,309637
2019-12,336062
2020-01,255773
2020-02,223856
2020-03,369840
2020-04,187732
2020-05,154548
2020-06,187455
2020-07,171338
2020-08,225871
2020-09,183611
2020-10,177940
2020-11,279646
2020-12,166408
